Name: name | Email: email | Phone: phone
Name:   Alice Johnson   |  Email: alice.johnson@example.com   | Phone: 555-1001
Name:Bob Smith|Email:bsmith@example.org|Phone: 555-1002
Name:   Carol Davis   |Email: caroldavis3@example.net| Phone:555-1003
Name:   David Miller   |  Email: david.miller@example.com   | Phone: 555-1004
Name:Emma Wilson|Email:ewilson@example.org|Phone: 555-1005
Name:   Frank Harris   |Email: frankharris6@example.net| Phone:555-1006
Name:   Grace Lee   |  Email: grace.lee@example.com   | Phone: 555-1007
Name:Henry Clark|Email:hclark@example.org|Phone: 555-1008
Name:   Irene Lewis   |Email: irenelewis2@example.net| Phone:555-1009
Name:   Jack Walker   |  Email: jack.walker@example.com   | Phone: 555-1010
Name:Karen Hall|Email:khall@example.org|Phone: 555-1011
Name:   Liam Young   |Email: liamyoung5@example.net| Phone:555-1012
Name:   Mia King   |  Email: mia.king@example.com   | Phone: 555-1013
Name:Noah Wright|Email:nwright@example.org|Phone: 555-1014
Name:   Olivia Scott   |Email: oliviascott1@example.net| Phone:555-1015
Name:   Paul Green   |  Email: paul.green@example.com   | Phone: 555-1016
Name:Quinn Adams|Email:qadams@example.org|Phone: 555-1017
Name:   Ruby Baker   |Email: rubybaker4@example.net| Phone:555-1018
Name:   Samuel Nelson   |  Email: samuel.nelson@example.com   | Phone: 555-1019
Name:Tara Hill|Email:thill@example.org|Phone: 555-1020
Name:   Uriel Roberts   |Email: urielroberts7@example.net| Phone:555-1021
Name:   Vera Campbell   |  Email: vera.campbell@example.com   | Phone: 555-1022
Name:William Mitchell|Email:wmitchell@example.org|Phone: 555-1023
Name:   Xavier Perez   |Email: xavierperez3@example.net| Phone:555-1024
Name:   Yvonne Turner   |  Email: yvonne.turner@example.com   | Phone: 555-1025
Name:Zachary Parker|Email:zparker@example.org|Phone: 555-1026
Name:   Abigail Evans   |Email: abigailevans6@example.net| Phone:555-1027
Name:   Benjamin Edwards   |  Email: benjamin.edwards@example.com   | Phone: 555-1028
Name:Chloe Collins|Email:ccollins@example.org|Phone: 555-1029
Name:   Daniel Stewart   |Email: danielstewart2@example.net| Phone:555-1030
Name:   Ella Sanchez   |  Email: ella.sanchez@example.com   | Phone: 555-1031
Name:Felix Morris|Email:fmorris@example.org|Phone: 555-1032
Name:   Georgia Rogers   |Email: georgiarogers5@example.net| Phone:555-1033
Name:   Hunter Reed   |  Email: hunter.reed@example.com   | Phone: 555-1034
Name:Isla Cook|Email:icook@example.org|Phone: 555-1035
Name:   Jacob Morgan   |Email: jacobmorgan1@example.net| Phone:555-1036
Name:   Kylie Bell   |  Email: kylie.bell@example.com   | Phone: 555-1037
Name:Logan Murphy|Email:lmurphy@example.org|Phone: 555-1038
Name:   Natalie Bailey   |Email: nataliebailey4@example.net| Phone:555-1039
Name:   Owen Rivera   |  Email: owen.rivera@example.com   | Phone: 555-1040
Name:Piper Cooper|Email:pcooper@example.org|Phone: 555-1041
Name:   Ryan Richardson   |Email: ryanrichardson7@example.net| Phone:555-1042
Name:   Sophie Cox   |  Email: sophie.cox@example.com   | Phone: 555-1043
Name:Thomas Howard|Email:thoward@example.org|Phone: 555-1044
Name:   Uma Foster   |Email: umafoster3@example.net| Phone:555-1045
Name:   Victor Ward   |  Email: victor.ward@example.com   | Phone: 555-1046
Name:Willow Hughes|Email:whughes@example.org|Phone: 555-1047
Name:   Ximena Flores   |Email: ximenaflores6@example.net| Phone:555-1048
Name:   Yusuf Simmons   |  Email: yusuf.simmons@example.com   | Phone: 555-1049
Name:Zoey Butler|Email:zbutler@example.org|Phone: 555-1050
Name:   Aaron Bryant   |Email: aaronbryant2@example.net| Phone:555-1051
Name:   Bella Russell   |  Email: bella.russell@example.com   | Phone: 555-1052
Name:Caleb Griffin|Email:cgriffin@example.org|Phone: 555-1053
Name:   Delia Hayes   |Email: deliahayes5@example.net| Phone:555-1054
Name:   Ethan Myers   |  Email: ethan.myers@example.com   | Phone: 555-1055
Name:Fiona Long|Email:flong@example.org|Phone: 555-1056
Name:   Gavin Peterson   |Email: gavinpeterson1@example.net| Phone:555-1057
